cod;nombre;pct_menores_18;pct_mayores_67;pct_migrantes;indice_fecundidad;renta_bruta_persona;pct_solteros;pct_casados;pct_divorciados;pct_cuenta_propia;pct_agricultura;pct_secundario;pct_directores;pct_cualificados;pct_primaria_inferior;pct_secundaria_2a;pct_superior;tasa_paro;tasa_empleo;tasa_actividad
02032;Fuensanta;7,89;32,65;13,61;1,56;14480,0;30,11;46,47;11,15;28,97;19,63;12,15;18,56;63,92;26,52;15,41;15,05;20,74;63,31;48,56
02033;Fuente-Álamo;15,24;21,05;12,49;1,58;12553,0;32,89;54,33;5,85;33,93;19,3;28,76;21,88;64,38;21,58;14,42;18,24;16,0;61,49;54,68
02034;Fuentealbilla;13,3;22,16;17,8;1,2;13294,0;32,73;51,72;7,19;26,34;28,86;20,9;17,12;59,03;28,89;13,58;17,9;12,23;66,61;55,79
02035;Gineta, La;18,96;15,75;12,33;1,47;14744,0;34,3;51,77;7,44;22,26;10,35;23,95;19,95;67,4;17,57;19,31;18,58;14,07;63,38;60,29
02037;Hellín;17,28;16,04;17,24;1,3;12696,0;36,56;49,03;7,63;20,64;16,63;20,73;22,37;59,31;23,97;17,14;18,34;15,08;56,58;53,18
02038;Herrera, La;13,29;19,43;15,19;2,2;15557,0;33,57;55,6;3,61;28,03;40,77;14,62;17,5;63,33;28,01;10,64;15,96;15,76;65,88;58,93
02039;Higueruela;11,51;26,34;6,65;0,8;15167,0;31,47;54,77;4,92;31,14;18,41;19,19;26,79;63,5;25,0;14,86;25,48;11,75;70,45;55,34
02040;Hoya-Gonzalo;10,41;27,7;8,93;0,97;16623,0;28,87;60,0;4,53;18,8;11,2;24,4;28,51;58,26;19,64;14,91;24,91;11,46;71,43;52,94
02041;Jorquera;5,31;31,73;10,34;0,28;13756,0;35,29;46,44;6,81;22,58;6,45;16,13;19,3;61,4;28,15;21,11;13,78;12,67;59,82;44,25
02042;Letur;8,9;27,03;6,06;1,04;13493,0;36,0;46,77;6,7;32,04;15,06;25,9;25,71;57,46;17,84;16,08;23,0;24,54;57,8;50,88
02043;Lezuza;8,72;26,39;7,27;0,96;13912,0;31,88;53,66;4,71;36,2;32,79;24,68;16,17;65,47;29,5;13,2;13,28;15,2;67,23;54,07
02044;Liétor;7,49;29,62;4,38;0,35;13620,0;30,81;51,82;7,17;26,5;17,77;31,23;20,78;65,06;27,34;15,89;10,66;27,87;52,07;46,77
02045;Madrigueras;17,22;21,23;11,07;1,3;14653,0;29,51;56,08;6,5;22,07;13,04;29,29;27,57;58,0;20,99;16,45;22,37;12,51;68,73;58,09
02046;Mahora;15,71;21,04;9,88;1,31;13671,0;31,34;54,07;6,62;23,39;17,42;27,1;21,64;61,58;23,69;16,2;19,29;13,9;66,81;57,3
02047;Masegoso;1,03;37,44;0,0;0,0;22525,0;33,91;53,04;5,22;25,93;18,52;18,52;35,42;43,75;23,48;13,91;24,35;17,31;65,15;45,22
02048;Minaya;12,99;27,67;11,28;0,87;12612,0;33,17;52,09;5,24;27,35;17,23;30,73;16,35;60,15;26,37;14,17;14,01;12,34;67,75;51,2
02049;Molinicos;6,27;37,3;4,37;0,53;14498,0;34,06;44,19;7,25;32,71;10,19;19,62;21,79;68,48;26,8;14,67;19,2;19,94;62,38;43,15
02051;Montealegre del Castillo;13,86;24,31;12,35;1,47;13096,0;32,9;53,76;4,62;37,64;23,67;35,18;19,04;66,71;22,81;14,29;17,5;10,85;72,73;57,75
02052;Motilleja;15,76;20,24;10,15;1,53;14042,0;36,81;47,74;6,77;18,01;13,6;20,96;23,9;62,55;20,34;21,69;20,34;15,36;64,01;56,85
02053;Munera;13,49;22,0;5,63;1,12;12288,0;33,89;52,84;4,36;27,34;22,22;22,63;15,39;60,5;23,87;14,0;16,14;11,07;69,6;56,86
02054;Navas de Jorquera;14,32;26,11;17,12;2,01;13045,0;35,86;50,33;5,57;23,41;57,56;9,76;11,52;49,74;21,81;17,71;15,77;12,6;71,43;53,59
02055;Nerpio;8,76;26,43;3,16;0,69;12633,0;38,19;47,16;4,44;38,86;26,64;16,38;22,5;63,18;21,54;15,07;19,76;18,28;61,15;51,65
02056;Ontur;12,83;25,43;10,52;0,96;12316,0;32,03;51,52;6,18;31,27;23,23;22,51;20,21;63,07;25,99;11,99;16,24;14,52;58,43;47,64
02057;Ossa de Montiel;12,8;23,54;6,48;1,19;13881,0;34,78;48,7;6,19;24,32;17,58;25,53;20,43;63,53;25,11;14,36;18,61;16,62;61,3;52,44
02058;Paterna del Madera;8,63;33,07;3,65;1,27;14013,0;35,69;41,48;7,72;23,85;21,1;21,1;20,75;68,87;22,86;15,56;13,33;23,13;56,59;42,95
02059;Peñascosa;5,88;30,97;3,03;0,45;16117,0;36,33;51,77;5,47;25,0;13,64;20,45;24,81;59,69;21,84;16,46;17,72;18,79;66,67;52,55
02060;Peñas de San Pedro;8,81;25,44;3,01;0,91;18726,0;32,57;52,57;6,69;15,21;8,27;24,67;22,92;63,08;20,86;18,53;23,33;10,92;73,88;58,39
02061;Pétrola;6,34;35,17;5,92;0,62;15030,0;34,09;48,29;6,2;28,12;18,75;24,22;24,0;63,11;26,84;14,54;21,09;13,29;68,32;48,71
02062;Povedilla;7,39;30,18;4,49;0,65;13017,0;40,82;42,19;5,75;32,05;23,72;21,15;17,14;67,14;22,04;14,78;11,83;15,87;76,42;56,52
02063;Pozohondo;11,6;26,71;7,72;1,21;13223,0;33,19;51,68;6,14;29,68;19,86;22,87;19,74;65,31;27,41;14,78;14,28;15,22;62,94;50,65
02064;Pozo-Lorente;7,16;32,08;8,12;0,7;16438,0;35,47;46,37;6,98;26,67;12,67;21,33;29,08;56,74;22,76;15,99;24,66;16,93;67,67;51,36
02065;Pozuelo;5,23;27,16;0,44;0,21;16715,0;35,63;51,22;4,45;22,37;16,51;18,35;27,94;64,22;19,25;16,59;23,45;14,69;68,75;54,57
02066;Recueja, La;5,58;38,33;5,58;1,32;13544,0;35,07;53,55;2,84;32,47;19,74;15,79;26,67;54,67;26,76;12,68;21,6;8,99;68,64;41,78
02067;Riópar;12,11;22,49;5,74;0,98;12678,0;34,24;49,92;6,95;29,35;9,0;18,98;26,99;58,49;15,43;18,98;24,17;16,67;60,69;52,63
02068;Robledo;11,23;21,18;5,13;1,53;15062,0;35,76;51,45;5,52;21,31;16,94;31,15;23,26;58,72;18,13;15,58;20,4;9,57;71,86;59,38
02069;Roda, La;17,98;17,34;15,48;1,32;13991,0;32,49;55,09;5,9;21,09;9,21;25,37;27,66;56,93;23,47;17,27;21,78;14,21;62,39;57,31
02070;Salobre;9,01;31,13;14,64;0,49;13721,0;31,47;52,54;3,3;25,66;20,39;16,45;21,09;57,82;26,76;14,84;15,09;11,67;59,55;44,23
02071;San Pedro;9,12;23,2;6,99;0,81;16022,0;37,07;50,14;5,0;24,4;15,03;21,04;23,78;59,45;21,58;15,23;18,4;12,99;69,88;56,26
02072;Socovos;10,86;27,91;5,68;0,85;11393,0;36,55;47,62;5,64;37,04;21,5;18,36;20,11;65,81;23,25;20,15;15,26;23,76;55,09;48,27
02073;Tarazona de la Mancha;15,85;19,82;10,2;1,3;13036,0;31,37;54,86;6,35;27,97;16,14;24,74;23,75;61,46;22,41;13,66;19,88;14,53;65,23;58,17
02074;Tobarra;16,62;18,62;17,36;1,35;12263,0;33,04;52,6;6,31;25,2;18,55;24,15;24,3;60,28;27,24;16,69;17,77;12,37;58,92;52,11
02075;Valdeganga;13,55;24,38;7,41;1,09;14654,0;31,83;55,16;5,33;23,03;12,58;20,59;26,68;59,2;23,78;17,35;21,44;14,48;65,28;53,93
02076;Vianos;7,55;28,87;2,52;0,57;15170,0;34,12;49,32;5,41;29,27;21,95;10,57;14,41;72,88;24,34;10,86;18,42;15,92;67,01;51,99
